구분,5억미만 대여금액,10억미만 대여금액,50억미만 대여금액,100억미만 대여금액,300억미만 대여금액,300억이상 대여금액,재무제표미등록 대여금액
혁신창업사업화,306951.7101,163103.6911,669286.1012,261100.741,172577.8625,48016.89255,214763
창업기반지원,287101.7536,144540.6911,552555.672,193983.9897,116428,29106.89255,212083
창업기반지원(일반),153766.7536,124140.6911,530305.672,191883.9897,115928,29006.89255,90768
청년전용창업(일반),90420,15110,16850,1500,200,100,100820
청년전용창업(융복합),42915,5290,5400,600,300,0,20495
개발기술사업화,19849.95643,18563,116730.4292,67116.75126,56149.8625,18910,2680
신성장기반,45998.9995,54338,445709,286550,309797,137225,31492
혁신성장지원,23024.9995,38072,274923,168486,138425,37099,10720
혁신성장지원(일반),17342.9995,34822,244258,151061,120397,32799,10070
협동화,5682,3250,30665,17425,18028,4300,650
제조현장스마트화,12769,9566,137602,106697,141942,44662,13372
Net-Zero 유망기업 지원,10205,6700,33184,11367,18999,5895,7400
스케일업금융,0,0,0,0,10431,49569,0
신시장진출지원,21705,26440,171524,105892,111389,41130,4370
내수기업 수출기업화,18510,19570,95030,36930,23190,4050,2720
수출기업 글로벌화,3195,6870,76494,68962,88199,37080,1650
긴급경영안정,16489,28365,210777,114293,122783,53165,4128
일시적경영애로,12280,25190,178849,96421,101865,41040,2050
재해중소기업,4209,3175,31928,17872,20918,12125,2078
재도약지원,34077,37133,223045,154667,192471,86280,22427
사업전환,1000,6440,79760,64369,124741,66740,6950
사업전환(일반),1000,6240,76110,61319,121941,66440,6950
통상변화대응,0,200,3650,3050,2800,300,0
재창업,29227,22803,88156,40147,4400,1100,14167
구조개선전용,3850,7890,55129,50151,63330,18440,1310
밸류체인안정화,273.518972,1586.200323,35488.17764,43676.56174,76415.36682,40839.54953,220.624968
매출채권팩토링,188.132572,445.253522,12792.74872,19324.20296,18554.27304,7562.189249,133.199941
동반성장네트워크론,85.3864,1140.946801,22695.42892,24352.35878,57861.09378,33277.36029,87.425027
통상리스크대응긴급,1610,1100,24540,26250,24950,20850,700
