지역,신청금액(시설),신청금액(운전),신청금액(합계_백만원),추천금액(시설),추천금액(운전),추천금액(합계_백만원),대여금액(시설),대여금액(운전),대여금액(합계_백만원)
서울,257945,656267,914212,234338,422701.1665,657039.1665,202491,421732.6086,624223.6086
부산,204999,207751,412750,192693,163213.5675,355906.5675,126763.5,162132.6085,288896.1085
대구,196402,144660,341062,172073,109549.7143,281622.7143,121407,109396.0658,230803.0658
인천,170464,152796,323260,149366,104771.9961,254137.9961,120483,104674.4192,225157.4192
광주,135430,84826,220256,129680,64997.97294,194677.9729,94665,63200.86529,157865.8653
대전,100350,68890,169240,91298,62547,153845,49262,62241.19911,111503.1991
울산,134304,95285,229589,127028,73552.02507,200580.0251,70139,72724.5916,142863.5916
경기,823471,799408,1622879,730358,631141.5481,1361499.548,459072,629892.6063,1088964.606
강원,97648,100184,197832,95700,83156.69364,178856.6936,47335,81472.54501,128807.545
충북,192781,147033,339814,187314,122760.3279,310074.3279,99246,121946.3079,221192.3079
충남,205693,195189,400882,179161,128640.7565,307801.7565,93026,127847.1765,220873.1765
전북,156000,124542,280542,148984,105445.11,254429.11,93912,102650.6178,196562.6178
전남,189640,154389,344029,183775,116895.0443,300670.0443,66748,116154.7884,182902.7884
경북,274610,312052,586662,234142,221280.3145,455422.3145,168854,220748.3423,389602.3423
경남,306945,278827,585772,297731,242372.8571,540103.8571,219403,239864.7682,459267.7682
제주,27230,39569,66799,19910,24742.90538,44652.90538,14422,24493.4739,38915.4739
세종,28350,17410,45760,28335,16990,45325,7925,16893.5137,24818.5137
