구분,금속 건수,금속 금액,기계 건수,기계 금액,전기 건수,전기 금액,전자 건수,전자 금액,섬유 건수,섬유 금액,화공 건수,화공 금액,잡화 건수,잡화 금액,식료 건수,식료 금액,정보 건수,정보 금액,유통 건수,유통 금액,기타 건수,기타 금액
혁신창업사업화,1083,238082,1195,257287.6316,367,82427,420,100174.1551,385,60758.763,863,174100.82,608,116691.959,1075,220440.736,1403,211197.3103,564,138230.8828,1166,236408.7406
창업기반지원,916,202168,954,199241.6316,273,59992,297,73455.42586,349,51057,737,143965.82,536,102364,991,199460.736,1241,174320.7478,519,127950.8828,1035,201823.7549
창업기반지원(일반),741,178888,777,176281.6316,204,50792,211,62105.42586,156,29417,496,114970.82,359,82334,587,146190.736,531,95005.74784,485,124400.8828,801,175413.7549
청년전용창업(일반),159,21030,146,19440,55,7300,63,8390,161,18080,182,21880,138,15560,303,39030,466,50540,26,2650,190,21100
청년전용창업(융복합),16,2250,31,3520,14,1900,23,2960,32,3560,59,7115,39,4470,101,14240,244,28775,8,900,44,5310
개발기술사업화,167,35914,241,58046,94,22435,123,26718.72924,36,9701.763,126,30135,72,14327.95897,84,20980,162,36876.5625,45,10280,131,34584.98572
신성장기반,469,207669,536,276533,111,64042.9995,101,48276,93,37757,401,174427,206,103961,289,102475,152,34952,340,118529,442,142488
혁신성장지원,297,100301,310,108060,77,32866.9995,67,19825,55,14349,268,76865,135,45663,212,57770,145,28436,307,95887,378,110727
혁신성장지원(일반),264,91746,258,92809,62,29766.9995,48,15208,41,10699,243,68035,120,41241,175,49890,114,23546,270,86212,345,101597
협동화,33,8555,52,15251,15,3100,19,4617,14,3650,25,8830,15,4422,37,7880,31,4890,37,9675,33,9130
제조현장스마트화,137,88815,181,131231,21,21696,27,24034,26,16058,92,71467,61,50178,55,33248,1,3900,12,13544,29,12439
Net-Zero 유망기업 지원,18,8365,34,28638,10,7080,5,2767,7,2250,27,14530,7,5720,16,6831,4,1266,14,3953,25,12350
스케일업금융,17,10188,11,8604,3,2400,2,1650,5,5100,14,11565,3,2400,6,4626,2,1350,7,5145,10,6972
신시장진출지원,159,40859,317,79214,70,16340,139,29522,131,25952,323,71720,112,21600,270,54590,69,12030,560,104323,128,26300
내수기업 수출기업화,77,14900,137,25720,35,6640,64,9690,65,11490,156,25610,73,12030,176,30130,52,7230,263,42690,79,13870
수출기업 글로벌화,82,25959,180,53494,35,9700,75,19832,66,14462,167,46110,39,9570,94,24460,17,4800,297,61633,49,12430
긴급경영안정,516,94228,530,100545,146,28653,147,30560,132,26336,394,76686,260,46923,167,40084,17,2730,283,70864,154,32391
일시적경영애로,419,81390,455,87840,129,26941,140,29555,112,22200,289,63291,158,30462,138,29980,17,2730,230,62025,95,21281
재해중소기업,97,12838,75,12705,17,1712,7,1005,20,4136,105,13395,102,16461,29,10104,0,0,53,8839,59,11110
재도약지원,319,115484,402,156160,101,35871,137,55472,93,31155,236,79615,143,35975,231,70359,149,34481,189,67784,237,67744
사업전환,96,56144,128,75390,28,20400,52,33236,28,11150,83,42885,26,10305,48,22896,26,8940,64,35784,77,32870
사업전환(일반),92,55144,120,73140,25,19750,47,32036,19,8950,77,41485,23,9505,46,22396,26,8940,64,35784,77,32870
통상변화대응,4,1000,8,2250,3,650,5,1200,9,2200,6,1400,3,800,2,500,0,0,0,0,0,0
재창업,120,27950,143,43150,35,5400,50,11896,42,13455,76,16930,75,15001,103,24993,86,15001,52,12700,65,13524
구조개선전용,103,31390,131,37620,38,10071,35,10340,23,6550,77,19800,42,10669,80,22470,37,10540,73,19300,95,21350
밸류체인안정화,147,43076.78966,172,57409.19736,29,6954.12847,51,6017.046463,23,5506.7664,94,13021.19697,32,6917.262292,33,11179.07847,3,828.40834,261,41912.40529,40,5677.7203
매출채권팩토링,75,6214.471268,47,4695.803804,12,1208.284425,47,5154.104063,20,3419.8414,58,3512.49076,20,1610.668125,22,3596.692601,3,828.40834,224,26680.75232,24,2078.482899
동반성장네트워크론,72,36862.31839,125,52713.39355,17,5745.844045,4,862.9424,3,2086.925,36,9508.706205,12,5306.594167,11,7582.385867,0,0,37,15231.65297,16,3599.237401
통상리스크대응긴급,119,35100,93,28310,6,3050,12,4000,7,1900,13,5500,11,2050,13,3300,5,1300,36,11550,16,3940
